# Number of Traces
25
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 2.4797594176399798e-01; 6.8965726581293574e-01; 5.9704177318758545e-01; 2.3880707383785374e-01; 8.9069705098316820e-01; 3.0316445711141893e-01
1; 0; 3; 4.0708278513028845e-01; 7.9290720137679005e-01; 1.9054542365205804e-01; 5.8999373703027480e-01; 4.4144071538923318e-01; 4.4396472304581658e-01
2; 0; 4; 4.7935223692995665e-01; 7.1935781179987623e-01; 1.9054542365205804e-01; 3.2254187386143862e-01; 8.0613990916857237e-01; 3.0215171453688017e-01
3; 0; 5; 4.2720007341802863e-01; 5.0725896124094916e-01; 5.9704177318758545e-01; 4.2509941631366949e-01; 5.1061528912628229e-01; 5.9517393895398174e-01
4; 0; 6; 1.6036270461720403e-01; 9.4551882387821684e-01; 3.4150614581109762e-01; 4.2436810703245781e-01; 5.4440696714881831e-01; 5.4451429376263860e-01
5; 0; 7; 3.2951089390531962e-01; 6.0667827801321628e-01; 5.9704177318758545e-01; 4.4995360538545259e-01; 7.0894723121709746e-01; 2.5236863514713970e-01
6; 0; 8; 4.2284129691097039e-01; 7.7686959636876263e-01; 1.9054542365205804e-01; 5.5413802687121005e-01; 3.9249192399563859e-01; 5.7493823442780523e-01
7; 1; 3; 9.3219301223688023e-01; 4.3397286100839821e-01; 3.9361989787461210e-01; 1.0881373072504230e+00; 4.4643030077661350e-01; 3.5788140881654379e-01
8; 1; 4; 5.5471520740420799e-01; 3.4775302217929877e-01; 1.5270184883183249e-01; 8.5173955844049165e-01; 3.4560801166812372e-01; -6.6465853981275497e-02
9; 2; 3; 2.0417828776973185e-01; 6.9474304159586153e-01; 3.0316445711141893e-01; 1.9507930182150357e-01; 5.2207571114633333e-01; 4.4396472304581652e-01
10; 2; 6; 3.1586681094161595e-01; 1.2629596008899404e+00; 3.7728990053789518e-01; 1.6201266918903134e-01; 3.4403894091689435e-01; 4.3341741262078537e-01
11; 2; 7; 2.8390199813548167e-01; 6.0447332336244608e-01; 9.3223134394306229e-01; 1.4992041146307891e-01; 3.2337674015595691e-01; 3.7791908301603694e-01
12; 2; 9; 1.7967345488367059e-01; 3.1811881367255040e-01; 5.7965360009831002e-01; 2.4842593893069365e-01; 6.1136117376789700e-01; 6.9097435508069727e-01
13; 3; 4; 6.9639825269435818e-01; 9.4588367753926827e-01; 1.9471648379405543e-02; 3.3136923116714651e-01; 6.7002807259422159e-01; 3.0215171453688017e-01
14; 3; 6; 1.0670416926497704e-01; 6.4697132079332265e-01; 3.5776151899437569e-01; 2.2958430450109255e-01; 5.1503036031433214e-01; 4.4396472304581652e-01
15; 3; 7; 2.7533021843380123e-01; 5.0568980132990660e-01; 4.4396472304581652e-01; 4.4904254769630675e-01; 7.0770840838475157e-01; 2.5236863514713970e-01
16; 3; 8; 5.2384452670666137e-01; 4.5494729002472428e-01; 4.4396472304581652e-01; 3.7256732320525127e-01; 9.4350949248998561e-01; 7.4730885127456237e-02
17; 4; 7; 3.3813027232799087e-01; 5.6577742342629356e-01; 3.0215171453688017e-01; 4.0063103571889258e-01; 6.4188020990674766e-01; 2.5236863514713970e-01
18; 4; 8; 3.8093142506468197e-01; 1.0120548524122017e+00; 2.4918867219314270e-01; 5.0882296823656481e-01; 3.6599889383799433e-01; 1.8570703560270052e-01
19; 5; 8; 5.1998413976991997e-01; 5.7290959023900045e-01; 6.0460398841141139e-01; 5.7190591954962655e-01; 3.7929721690958751e-01; 6.8953864347993210e-01
20; 5; 9; 2.0617557729799893e-01; 3.0478333775862326e-01; 5.9517393895398174e-01; 4.5619117408804366e-01; 1.4373635584436922e-01; 7.3395089425692905e-01
21; 6; 7; 1.5875417021688848e-01; 3.4495374052188993e-01; 4.3152253375196081e-01; 4.5218760555362814e-01; 7.6094491811947063e-01; 5.2674129211444076e-01
22; 6; 8; 4.7792178843098765e-01; 7.3516417215703633e-01; 5.4451429376263860e-01; 3.2768093767931261e-01; 1.3407694410618525e+00; 3.7188316486703971e-01
23; 7; 8; 4.4629359067258173e-01; 7.0397047744283647e-01; 2.5236863514713970e-01; 4.5973894174920948e-01; 7.5539149859516119e-01; 4.3807758037819544e-01
24; 7; 9; 6.4940013283212666e-02; 2.2603760697649461e-01; 4.7999122984809550e-01; 3.1168966001783827e-01; 6.0687613965712439e-01; 7.3395089425692905e-01
